Уровень	Дата и время	Источник	Код события	Категория задачи
Сведения	07.09.2017 8:26:03	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 1 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	07.09.2017 8:26:03	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 0 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	07.09.2017 8:26:00	Microsoft-Windows-Kernel-Power	172	(203)	Состояние подключения в режиме ожидания: Отключено, причина: Соответствие сетевых карт требованиям
Сведения	07.09.2017 8:26:00	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""npsvctrig"" (версия 10.0, ‎2097‎-‎07‎-‎25T17:18:05.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	07.09.2017 8:26:00	avipbb	17	Отсутствует	avipbb.sys successfully loaded
Сведения	07.09.2017 8:26:00	avkmgr	17	Отсутствует	avkmgr.sys successfully loaded
Сведения	07.09.2017 8:25:59	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""FileCrypt"" (версия 10.0, ‎2030‎-‎05‎-‎28T15:10:59.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	07.09.2017 8:25:59	Microsoft-Windows-Ntfs	98	Отсутствует	Том C: (\Device\HarddiskVolume5) работоспособен.  Не требуется никаких действий.
Сведения	07.09.2017 8:25:58	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""Wof"" (версия 10.0, ‎1974‎-‎03‎-‎12T05:47:45.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	07.09.2017 8:25:58	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""FileInfo"" (версия 10.0, ‎2042‎-‎06‎-‎30T21:43:32.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	07.09.2017 8:25:57	Microsoft-Windows-Kernel-Boot	30	(21)	Встроенное ПО сообщило метрики загрузки.
Сведения	07.09.2017 8:25:57	Microsoft-Windows-Kernel-Boot	25	(32)	Использовалась следующая политика меню загрузки: 0x1.
Сведения	07.09.2017 8:25:57	Microsoft-Windows-Kernel-Boot	27	(33)	Использовался следующий тип загрузки: 0x0.
Сведения	07.09.2017 8:25:57	Microsoft-Windows-Kernel-Boot	20	(31)	Состояние успешного выполнения последнего завершения работы: true. Состояние успешного выполнения последней загрузки: true.
Сведения	07.09.2017 8:25:57	Microsoft-Windows-Kernel-Boot	32	Отсутствует	Диспетчер загрузки затратил 0 мс на ожидание ввода данных пользователем.
Сведения	07.09.2017 8:25:57	Microsoft-Windows-Kernel-Boot	18	Отсутствует	Число вариантов загрузки данной системы: 0x1.
Сведения	07.09.2017 8:25:57	Microsoft-Windows-Kernel-Boot	153	Отсутствует	Безопасность на основе виртуализации (политики: 0) — отключено.
Сведения	07.09.2017 8:25:57	Microsoft-Windows-Kernel-General	12	(1)	Системное время запуска операционной системы: ‎2017‎-‎09‎-‎07T01:25:56.486501800Z.
Сведения	06.09.2017 17:10:05	Microsoft-Windows-Kernel-General	13	(2)	Системное время завершения работы операционной системы: ‎2017‎-‎09‎-‎06T10:10:05.405469900Z.
Сведения	06.09.2017 17:10:01	Microsoft-Windows-Kernel-Power	109	(103)	"Диспетчер питания ядра инициировал завершение работы.

Причина завершения работы: API ядра"
Сведения	06.09.2017 17:09:59	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9WZDNCRFHVQM-microsoft.windowscommunicationsapps
Сведения	06.09.2017 17:09:58	Microsoft-Windows-WLAN-AutoConfig	4001	Отсутствует	"Служба автонастройки беспроводной сети остановлена успешно.
"
Сведения	07.09.2017 8:26:15	EventLog	6013	Отсутствует	Время работоспособного состояния 18 сек.
Сведения	07.09.2017 8:26:15	EventLog	6005	Отсутствует	Запущена служба журнала событий.
Сведения	07.09.2017 8:26:15	EventLog	6009	Отсутствует	Microsoft (R) Windows (R) 10.00. 15063  Multiprocessor Free.
Сведения	06.09.2017 17:09:57	Microsoft-Windows-Dhcp-Client	50037	Событие состояния службы	Остановка клиентской службы DHCPv4. Значение флага завершения работы: 1
Сведения	06.09.2017 17:09:57	Microsoft-Windows-Dhcp-Client	50106	Событие состояния службы	DHCPv4 ожидает остановки службы DHCPv6
Сведения	06.09.2017 17:09:57	Microsoft-Windows-DHCPv6-Client	51057	Событие состояния службы	Служба DHCPv6-клиента почти остановлена. Количество ссылок контекста DHCP: 1
Сведения	06.09.2017 17:09:57	Microsoft-Windows-DHCPv6-Client	51057	Событие состояния службы	Служба DHCPv6-клиента почти остановлена. Количество ссылок контекста DHCP: 1
Сведения	06.09.2017 17:09:57	Microsoft-Windows-DHCPv6-Client	51047	Событие состояния службы	Клиентская служба DHCPv6 остановлена. Значение флага завершения работы: 1
Сведения	06.09.2017 17:09:57	Microsoft-Windows-Dhcp-Client	50105	Событие состояния службы	DHCPv4-клиент ProcessDHCPRequestForever получил событие TERMINATE_EVENT
Сведения	06.09.2017 17:09:57	Microsoft-Windows-Dhcp-Client	50104	Событие состояния службы	DHCPv4-клиент получил уведомление о завершении работы
Сведения	06.09.2017 17:09:57	EventLog	6006	Отсутствует	Служба журнала событий остановлена.
Сведения	06.09.2017 17:09:54	Microsoft-Windows-Winlogon	7002	(1102)	Уведомление о выходе пользователя для программы улучшения качества ПО
Сведения	06.09.2017 17:09:50	User32	1074	Отсутствует	"Процесс C:\Windows\System32\RuntimeBroker.exe (DESKTOP-8RQ6Q4N) инициировал действие ""Перезапустить"" для компьютера DESKTOP-8RQ6Q4N от имени пользователя DESKTOP-8RQ6Q4N\VladlenMacro по причине: Другое (Незапланированное)
 Код причины: 0x0
 Тип выключения: Перезапустить
 Комментарий: "
Сведения	06.09.2017 17:09:48	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения	06.09.2017 17:09:37	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9WZDNCRFHVQM-microsoft.windowscommunicationsapps
Сведения	06.09.2017 17:09:26	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\microsoft.windowscommunicationsapps_17.8500.40725.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	06.09.2017 17:08:33	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9NBLGGH33ZDV-A278AB0D.MarchofEmpires
Сведения	06.09.2017 17:08:25	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9NBLGGH33ZDV-A278AB0D.MarchofEmpires
Сведения	06.09.2017 17:08:25	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9WZDNCRFJBBG-Microsoft.WindowsCamera
Сведения	06.09.2017 17:08:24	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\Users\VladlenMacro\AppData\Local\Packages\A278AB0D.MarchofEmpires_h6adky7gbf63m\Settings\settings.dat очищен; обновлено разделов: 3; создано измененных страниц: 1.
Сведения	06.09.2017 17:08:17	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\A278AB0D.MarchofEmpires_2.7.0.13_x86__h6adky7gbf63m\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	06.09.2017 17:08:16	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9WZDNCRFJBBG-Microsoft.WindowsCamera
Сведения	06.09.2017 17:08:09	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsCamera_2017.727.20.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	06.09.2017 17:07:22	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	06.09.2017 17:07:22	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	06.09.2017 17:07:22	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	06.09.2017 17:06:02	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения	06.09.2017 17:04:21	Service Control Manager	7026	Отсутствует	"Следующие драйверы загрузки или запуска системы не загружены: 
dam"
Сведения	06.09.2017 17:03:51	Microsoft-Windows-Winlogon	7001	(1101)	Уведомление о входе пользователя для программы улучшения качества ПО
Сведения	06.09.2017 17:03:43	Microsoft-Windows-WLAN-AutoConfig	4000	Отсутствует	"Служба автонастройки беспроводной сети запущена успешно.
"
Сведения	06.09.2017 17:03:42	Microsoft-Windows-UserModePowerService	12	(10)	Процесс C:\Windows\System32\atieclxx.exe (ИД процесса: 1836) изменил схему политики с {381B4222-F694-41F0-9685-FF5BB260DF2E} на {381B4222-F694-41F0-9685-FF5BB260DF2E}
Сведения	06.09.2017 17:03:42	avgntflt	17	Отсутствует	avgntflt.sys successfully loaded
Сведения	06.09.2017 17:03:42	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""avgntflt"" (версия 6.3, ‎2017‎-‎07‎-‎10T21:59:26.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	06.09.2017 17:03:42	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""storqosflt"" (версия 10.0, ‎2015‎-‎12‎-‎18T10:36:27.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Ошибка	06.09.2017 17:03:42	Service Control Manager	7000	Отсутствует	"Сбой при запуске службы ""CldFlt"" из-за ошибки 
Такой запрос не поддерживается."
Сведения	06.09.2017 17:03:42	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""luafv"" (версия 10.0, ‎2037‎-‎06‎-‎08T16:55:59.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	06.09.2017 17:03:42	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""wcifs"" (версия 10.0, ‎2079‎-‎07‎-‎16T01:50:57.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	06.09.2017 17:03:42	Microsoft-Windows-DHCPv6-Client	51046	Событие состояния службы	Служба клиента DHCPv6 запущена
Сведения	06.09.2017 17:03:42	Microsoft-Windows-Dhcp-Client	50103	Событие состояния службы	DHCPv4-клиент зарегистрирован для уведомления о завершении работы
Сведения	06.09.2017 17:03:42	Microsoft-Windows-Dhcp-Client	50036	Событие состояния службы	Служба клиента DHCPv4 запущена
Сведения	06.09.2017 17:03:41	Microsoft-Windows-Directory-Services-SAM	16962	Отсутствует	"Удаленные вызовы к базе данных SAM запрещены с помощью дескриптора безопасности по умолчанию: O:SYG:SYD:(A;;RC;;;BA).
Для получения дополнительных сведений см. http://go.microsoft.com/fwlink/?LinkId=787651."
Сведения	06.09.2017 17:03:41	Microsoft-Windows-Wininit	14	Отсутствует	Конфигурация Credential Guard (LsaIso.exe): 0x0, 0
Сведения	06.09.2017 17:03:36	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \Device\HarddiskVolume2\EFI\Microsoft\Boot\BCD очищен; обновлено разделов: 280; создано измененных страниц: 14.
Сведения	06.09.2017 17:03:36	Microsoft-Windows-Ntfs	98	Отсутствует	Том \\?\Volume{154e8991-6b1f-42dc-ad2d-ac5ac1ccb8c3} (\Device\HarddiskVolume1) работоспособен.  Не требуется никаких действий.
Сведения	06.09.2017 17:03:36	Microsoft-Windows-Ntfs	98	Отсутствует	Том \\?\Volume{1ff3b2f7-c3a6-453e-8bd7-bd476df67d73} (\Device\HarddiskVolume9) работоспособен.  Не требуется никаких действий.
Сведения	06.09.2017 17:03:36	Microsoft-Windows-Ntfs	98	Отсутствует	Том D: (\Device\HarddiskVolume6) работоспособен.  Не требуется никаких действий.
Сведения	06.09.2017 17:03:31	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 3 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	06.09.2017 17:03:31	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 2 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	06.09.2017 17:03:31	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 1 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	06.09.2017 17:03:31	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 0 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	06.09.2017 17:03:28	Microsoft-Windows-Kernel-Power	172	(203)	Состояние подключения в режиме ожидания: Отключено, причина: Соответствие сетевых карт требованиям
Сведения	06.09.2017 17:03:28	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""npsvctrig"" (версия 10.0, ‎2097‎-‎07‎-‎25T17:18:05.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	06.09.2017 17:03:28	avipbb	17	Отсутствует	avipbb.sys successfully loaded
Сведения	06.09.2017 17:03:28	avkmgr	17	Отсутствует	avkmgr.sys successfully loaded
Сведения	06.09.2017 17:03:27	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""FileCrypt"" (версия 10.0, ‎2030‎-‎05‎-‎28T15:10:59.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	06.09.2017 17:03:27	Microsoft-Windows-Ntfs	98	Отсутствует	Том C: (\Device\HarddiskVolume5) работоспособен.  Не требуется никаких действий.
Сведения	06.09.2017 17:03:26	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""Wof"" (версия 10.0, ‎1974‎-‎03‎-‎12T05:47:45.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	06.09.2017 17:03:26	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""FileInfo"" (версия 10.0, ‎2042‎-‎06‎-‎30T21:43:32.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	06.09.2017 17:03:25	Microsoft-Windows-Kernel-Boot	30	(21)	Встроенное ПО сообщило метрики загрузки.
Сведения	06.09.2017 17:03:25	Microsoft-Windows-Kernel-Boot	25	(32)	Использовалась следующая политика меню загрузки: 0x1.
Сведения	06.09.2017 17:03:25	Microsoft-Windows-Kernel-Boot	27	(33)	Использовался следующий тип загрузки: 0x0.
Сведения	06.09.2017 17:03:25	Microsoft-Windows-Kernel-Boot	20	(31)	Состояние успешного выполнения последнего завершения работы: true. Состояние успешного выполнения последней загрузки: true.
Сведения	06.09.2017 17:03:25	Microsoft-Windows-Kernel-Boot	32	Отсутствует	Диспетчер загрузки затратил 0 мс на ожидание ввода данных пользователем.
Сведения	06.09.2017 17:03:25	Microsoft-Windows-Kernel-Boot	18	Отсутствует	Число вариантов загрузки данной системы: 0x1.
Сведения	06.09.2017 17:03:25	Microsoft-Windows-Kernel-Boot	153	Отсутствует	Безопасность на основе виртуализации (политики: 0) — отключено.
Сведения	06.09.2017 17:03:25	Microsoft-Windows-Kernel-General	12	(1)	Системное время запуска операционной системы: ‎2017‎-‎09‎-‎06T10:03:24.486430500Z.
Сведения	04.09.2017 22:18:22	Microsoft-Windows-Kernel-General	13	(2)	Системное время завершения работы операционной системы: ‎2017‎-‎09‎-‎04T15:18:22.524423700Z.
Сведения	04.09.2017 22:18:18	Microsoft-Windows-Kernel-Power	109	(103)	"Диспетчер питания ядра инициировал завершение работы.

Причина завершения работы: API ядра"
Сведения	04.09.2017 22:18:14	Microsoft-Windows-WLAN-AutoConfig	4001	Отсутствует	"Служба автонастройки беспроводной сети остановлена успешно.
"
Сведения	06.09.2017 17:03:42	EventLog	6013	Отсутствует	Время работоспособного состояния 17 сек.
Сведения	06.09.2017 17:03:42	EventLog	6005	Отсутствует	Запущена служба журнала событий.
Сведения	06.09.2017 17:03:42	EventLog	6009	Отсутствует	Microsoft (R) Windows (R) 10.00. 15063  Multiprocessor Free.
Сведения	04.09.2017 22:18:13	Microsoft-Windows-Dhcp-Client	50037	Событие состояния службы	Остановка клиентской службы DHCPv4. Значение флага завершения работы: 1
Сведения	04.09.2017 22:18:13	Microsoft-Windows-Dhcp-Client	50106	Событие состояния службы	DHCPv4 ожидает остановки службы DHCPv6
Сведения	04.09.2017 22:18:13	Microsoft-Windows-DHCPv6-Client	51057	Событие состояния службы	Служба DHCPv6-клиента почти остановлена. Количество ссылок контекста DHCP: 1
Сведения	04.09.2017 22:18:13	Microsoft-Windows-DHCPv6-Client	51057	Событие состояния службы	Служба DHCPv6-клиента почти остановлена. Количество ссылок контекста DHCP: 1
Сведения	04.09.2017 22:18:13	Microsoft-Windows-DHCPv6-Client	51047	Событие состояния службы	Клиентская служба DHCPv6 остановлена. Значение флага завершения работы: 1
Сведения	04.09.2017 22:18:13	Microsoft-Windows-Dhcp-Client	50105	Событие состояния службы	DHCPv4-клиент ProcessDHCPRequestForever получил событие TERMINATE_EVENT
Сведения	04.09.2017 22:18:13	Microsoft-Windows-Dhcp-Client	50104	Событие состояния службы	DHCPv4-клиент получил уведомление о завершении работы
Сведения	04.09.2017 22:18:13	EventLog	6006	Отсутствует	Служба журнала событий остановлена.
Сведения	04.09.2017 22:18:12	Microsoft-Windows-Winlogon	7002	(1102)	Уведомление о выходе пользователя для программы улучшения качества ПО
Сведения	04.09.2017 22:18:12	Microsoft-Windows-GroupPolicy	1501	Отсутствует	Параметры групповой политики для этого пользователя обработаны успешно. Не обнаружено изменений со времени последней успешной обработки групповой политики.
Сведения	04.09.2017 22:18:12	Microsoft-Windows-GroupPolicy	1500	Отсутствует	Параметры групповой политики для этого компьютера обработаны успешно. Не обнаружено изменений со времени последней успешной обработки групповой политики.
Ошибка	04.09.2017 22:18:11	Microsoft-Windows-DistributedCOM	10010	Отсутствует	Регистрация сервера Microsoft.Windows.ContentDeliveryManager_10.0.15063.0_neutral_neutral_cw5n1h2txyewy!App.AppXwdz8g2fxr36xz0tdtagygnvemf85s7gg.mca DCOM не выполнена за отведенное время ожидания.
Сведения	04.09.2017 22:18:09	User32	1074	Отсутствует	"Процесс C:\Windows\System32\RuntimeBroker.exe (DESKTOP-8RQ6Q4N) инициировал действие ""Перезапустить"" для компьютера DESKTOP-8RQ6Q4N от имени пользователя DESKTOP-8RQ6Q4N\VladlenMacro по причине: Другое (Незапланированное)
 Код причины: 0x0
 Тип выключения: Перезапустить
 Комментарий: "
Сведения	04.09.2017 22:18:07	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения	04.09.2017 21:59:56	Lfsvc	2	Отсутствует	Определение географического положения отключено пользователем.
Сведения	04.09.2017 21:59:31	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения	04.09.2017 21:57:20	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения	04.09.2017 21:55:37	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Advertising.Xaml_10.1708.1.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	04.09.2017 21:55:33	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Advertising.Xaml_10.1708.1.0_x86__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	04.09.2017 21:55:28	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	04.09.2017 21:52:27	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения	04.09.2017 21:50:45	Service Control Manager	7026	Отсутствует	"Следующие драйверы загрузки или запуска системы не загружены: 
dam"
Сведения	04.09.2017 21:50:03	Microsoft-Windows-Winlogon	7001	(1101)	Уведомление о входе пользователя для программы улучшения качества ПО
Сведения	04.09.2017 21:49:54	Microsoft-Windows-WLAN-AutoConfig	4000	Отсутствует	"Служба автонастройки беспроводной сети запущена успешно.
"
Сведения	04.09.2017 21:49:53	Microsoft-Windows-UserModePowerService	12	(10)	Процесс C:\Windows\System32\atieclxx.exe (ИД процесса: 1692) изменил схему политики с {381B4222-F694-41F0-9685-FF5BB260DF2E} на {381B4222-F694-41F0-9685-FF5BB260DF2E}
Сведения	04.09.2017 21:49:53	Microsoft-Windows-DHCPv6-Client	51046	Событие состояния службы	Служба клиента DHCPv6 запущена
Сведения	04.09.2017 21:49:53	Microsoft-Windows-Dhcp-Client	50103	Событие состояния службы	DHCPv4-клиент зарегистрирован для уведомления о завершении работы
Сведения	04.09.2017 21:49:53	Microsoft-Windows-Dhcp-Client	50036	Событие состояния службы	Служба клиента DHCPv4 запущена
Сведения	04.09.2017 21:49:52	avgntflt	17	Отсутствует	avgntflt.sys successfully loaded
Сведения	04.09.2017 21:49:53	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""avgntflt"" (версия 6.3, ‎2017‎-‎07‎-‎10T21:59:26.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	04.09.2017 21:49:52	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""storqosflt"" (версия 10.0, ‎2015‎-‎12‎-‎18T10:36:27.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Ошибка	04.09.2017 21:49:52	Service Control Manager	7000	Отсутствует	"Сбой при запуске службы ""CldFlt"" из-за ошибки 
Такой запрос не поддерживается."
Сведения	04.09.2017 21:49:52	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""luafv"" (версия 10.0, ‎2037‎-‎06‎-‎08T16:55:59.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	04.09.2017 21:49:52	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""wcifs"" (версия 10.0, ‎2079‎-‎07‎-‎16T01:50:57.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	04.09.2017 21:49:52	Microsoft-Windows-Directory-Services-SAM	16962	Отсутствует	"Удаленные вызовы к базе данных SAM запрещены с помощью дескриптора безопасности по умолчанию: O:SYG:SYD:(A;;RC;;;BA).
Для получения дополнительных сведений см. http://go.microsoft.com/fwlink/?LinkId=787651."
Сведения	04.09.2017 21:49:51	Microsoft-Windows-Wininit	14	Отсутствует	Конфигурация Credential Guard (LsaIso.exe): 0x0, 0
Сведения	04.09.2017 21:49:46	Microsoft-Windows-Ntfs	98	Отсутствует	Том \\?\Volume{154e8991-6b1f-42dc-ad2d-ac5ac1ccb8c3} (\Device\HarddiskVolume1) работоспособен.  Не требуется никаких действий.
Сведения	04.09.2017 21:49:46	Microsoft-Windows-Ntfs	98	Отсутствует	Том \\?\Volume{1ff3b2f7-c3a6-453e-8bd7-bd476df67d73} (\Device\HarddiskVolume9) работоспособен.  Не требуется никаких действий.
Сведения	04.09.2017 21:49:45	Microsoft-Windows-Ntfs	98	Отсутствует	Том D: (\Device\HarddiskVolume6) работоспособен.  Не требуется никаких действий.
Сведения	04.09.2017 21:49:43	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 3 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	04.09.2017 21:49:43	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 2 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	04.09.2017 21:49:43	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 1 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	04.09.2017 21:49:43	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 0 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	04.09.2017 21:49:40	Microsoft-Windows-Kernel-Power	172	(203)	Состояние подключения в режиме ожидания: Отключено, причина: Соответствие сетевых карт требованиям
