Уровень	Дата и время	Источник	Код события	Категория задачи
Сведения	28.09.2017 3:30:16	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎27T20:30:18.615459200Z на ‎2017‎-‎09‎-‎27T20:30:16.055664700Z.

Причина изменения: Время изменено приложением или компонентом системы."
Сведения	28.09.2017 3:30:08	Microsoft-Windows-Time-Service	37	Отсутствует	NTP-клиент поставщика времени получает действительные данные о времени от time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->13.79.239.69:123).
Сведения	27.09.2017 19:28:10	Service Control Manager	7045	Отсутствует	"В системе установлена служба.

Имя службы:  Avira Service Host
Имя файла службы:  ""C:\Program Files (x86)\Avira\Launcher\Avira.ServiceHost.exe""
Тип службы:  служба режима пользователя
Тип запуска службы:  Автоматически
Учетная запись службы:  LocalSystem"
Сведения	27.09.2017 18:28:10	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9NBLGGH2JHXJ-Microsoft.MinecraftUWP
Сведения	27.09.2017 18:28:05	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9NBLGGH2JHXJ-Microsoft.MinecraftUWP
Сведения	27.09.2017 18:27:59	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.MinecraftUWP_1.2.101.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	27.09.2017 18:27:34	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	27.09.2017 18:27:28	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	27.09.2017 18:24:10	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\Users\VladlenMacro\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\Settings\settings.dat очищен; обновлено разделов: 40; создано измененных страниц: 3.
Сведения	27.09.2017 18:24:00	Microsoft-Windows-Time-Service	37	Отсутствует	NTP-клиент поставщика времени получает действительные данные о времени от time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->13.79.239.69:123).
Ошибка	27.09.2017 18:23:58	Microsoft-Windows-DistributedCOM	10016	Отсутствует	"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 и APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 пользователю NT AUTHORITY\СИСТЕМА с ИД безопасности (S-1-5-18) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения	27.09.2017 18:23:58	Microsoft-Windows-Power-Troubleshooter	1	Отсутствует	"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2017‎-‎09‎-‎26T20:33:36.734014800Z
Время выхода из спящего режима: ‎2017‎-‎09‎-‎27T11:23:54.514463700Z

Источник выхода: Устройство -USB Root Hub"
Предупреждение	27.09.2017 18:23:55	Microsoft-Windows-Time-Service	134	Отсутствует	"NTP-клиенту не удалось задать настроенный вручную узел в качестве источника времени из-за ошибки разрешения DNS-имен на ""time.windows.com,0x9"". NTP-клиент повторит попытку через 15 мин., а затем удвоит интервал между попытками. Ошибка: Этот хост неизвестен. (0x80072AF9)"
Сведения	27.09.2017 18:23:54	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎27T11:23:54.539212400Z на ‎2017‎-‎09‎-‎27T11:23:54.538000000Z.

Причина изменения: Время изменено приложением или компонентом системы."
Предупреждение	27.09.2017 18:23:53	Microsoft-Windows-Time-Service	134	Отсутствует	"NTP-клиенту не удалось задать настроенный вручную узел в качестве источника времени из-за ошибки разрешения DNS-имен на ""time.windows.com,0x9"". NTP-клиент повторит попытку через 15 мин., а затем удвоит интервал между попытками. Ошибка: Этот хост неизвестен. (0x80072AF9)"
Сведения	27.09.2017 18:23:53	Microsoft-Windows-Kernel-Power	131	(33)	Значения времени встроенного ПО для S3. ResumeCount: 4, FullResume: 459, AverageResume: 459
Сведения	27.09.2017 18:23:53	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎26T20:33:45.735575900Z на ‎2017‎-‎09‎-‎27T11:23:53.500000000Z.

Причина изменения: Системное время синхронизировано с аппаратными часами."
Сведения	27.09.2017 3:33:45	Microsoft-Windows-Kernel-Power	107	(102)	Система возобновила работу после режима сна.
Сведения	27.09.2017 18:23:53	EventLog	6013	Отсутствует	Время работоспособного состояния 1199964 сек.
Сведения	27.09.2017 3:33:43	Microsoft-Windows-Kernel-Power	42	(64)	"Система переходит в спящий режим.

Причина: Бездействие системы"
Сведения	27.09.2017 3:33:37	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎26T20:33:37.424115300Z на ‎2017‎-‎09‎-‎26T20:33:37.423000000Z.

Причина изменения: Время изменено приложением или компонентом системы."
Сведения	26.09.2017 22:45:01	Microsoft-Windows-Time-Service	35	Отсутствует	Служба времени выполняет синхронизацию системного времени с источником времени time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.166.120.77:123).
Сведения	26.09.2017 22:45:01	Microsoft-Windows-Time-Service	37	Отсутствует	NTP-клиент поставщика времени получает действительные данные о времени от time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.166.120.77:123).
Сведения	26.09.2017 20:10:09	Service Control Manager	7045	Отсутствует	"В системе установлена служба.

Имя службы:  FlexNet Licensing Service 64
Имя файла службы:  ""C:\Program Files\Common Files\Macrovision Shared\FLEXnet Publisher\FNPLicensingService64.exe""
Тип службы:  служба режима пользователя
Тип запуска службы:  Вручную
Учетная запись службы:  LocalSystem"
Сведения	26.09.2017 20:08:21	Service Control Manager	7045	Отсутствует	"В системе установлена служба.

Имя службы:  XilinxPC4Driver
Имя файла службы:  \SystemRoot\System32\drivers\xpc4drvr.sys
Тип службы:  драйвер режима ядра
Тип запуска службы:  Автоматически
Учетная запись службы:  "
Сведения	26.09.2017 20:08:18	Microsoft-Windows-UserPnp	20001	(7005)	Установка драйвера windrvr6.inf_amd64_eddcd8eba6b279c1\windrvr6.inf для экземпляра устройства с ИД ROOT\JUNGO\0000 завершена со следующим состоянием: 0x0.
Сведения	26.09.2017 20:08:17	Service Control Manager	7045	Отсутствует	"В системе установлена служба.

Имя службы:  WinDriver6
Имя файла службы:  \SystemRoot\system32\drivers\windrvr6.sys
Тип службы:  драйвер режима ядра
Тип запуска службы:  Вручную
Учетная запись службы:  "
Ошибка	26.09.2017 17:35:16	Microsoft-Windows-DistributedCOM	10016	Отсутствует	"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 и APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 пользователю NT AUTHORITY\СИСТЕМА с ИД безопасности (S-1-5-18) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения	26.09.2017 17:35:16	Microsoft-Windows-Power-Troubleshooter	1	Отсутствует	"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2017‎-‎09‎-‎26T07:45:23.777077700Z
Время выхода из спящего режима: ‎2017‎-‎09‎-‎26T10:35:12.135468900Z

Источник выхода: Устройство -USB Root Hub"
Сведения	26.09.2017 17:35:12	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎26T10:35:12.164593900Z на ‎2017‎-‎09‎-‎26T10:35:12.142000000Z.

Причина изменения: Время изменено приложением или компонентом системы."
Сведения	26.09.2017 17:35:11	Microsoft-Windows-Kernel-Power	131	(33)	Значения времени встроенного ПО для S3. ResumeCount: 3, FullResume: 459, AverageResume: 459
Сведения	26.09.2017 17:35:11	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎26T07:45:26.782305700Z на ‎2017‎-‎09‎-‎26T10:35:11.500000000Z.

Причина изменения: Системное время синхронизировано с аппаратными часами."
Сведения	26.09.2017 14:45:26	Microsoft-Windows-Kernel-Power	107	(102)	Система возобновила работу после режима сна.
Сведения	26.09.2017 14:45:25	Microsoft-Windows-Kernel-Power	42	(64)	"Система переходит в спящий режим.

Причина: Бездействие системы"
